193    0.0007429122924804688    0    0    b'Hello, world!'
194    0.0006952285766601562    0    0    b'Hello, world!'
195    0.0006740093231201172    0    0    b'Hello, world!'
196    0.0006721019744873047    0    0    b'Hello, world!'
197    0.0007641315460205078    0    0    b'Hello, world!'
198    0.0007669925689697266    0    0    b'Hello, world!'
199    0.0007550716400146484    0    0    b'Hello, world!'
200    0.0007531642913818359    0    0    b'Hello, world!'
201    0.0007598400115966797    0    0    b'Hello, world!'
202    0.0007529258728027344    0    0    b'Hello, world!'
203    0.0007710456848144531    0    0    b'Hello, world!'
204    0.000820159912109375    0    0    b'Hello, world!'
205    0.00086212158203125    0    0    b'Hello, world!'
206    0.0008270740509033203    0    0    b'Hello, world!'
207    0.0007638931274414062    0    0    b'Hello, world!'
208    0.0007491111755371094    0    0    b'Hello, world!'
209    0.0007579326629638672    0    0    b'Hello, world!'
210    0.000762939453125    0    0    b'Hello, world!'
211    0.0008058547973632812    0    0    b'Hello, world!'
212    0.00074005126953125    0    0    b'Hello, world!'
213    0.0007228851318359375    0    0    b'Hello, world!'
214    0.0007901191711425781    0    0    b'Hello, world!'
215    0.0007688999176025391    0    0    b'Hello, world!'
216    0.0007648468017578125    0    0    b'Hello, world!'
217    0.0008938312530517578    0    0    b'Hello, world!'
218    0.0009200572967529297    0    0    b'Hello, world!'
219    0.0008139610290527344    0    0    b'Hello, world!'
220    0.000782012939453125    0    0    b'Hello, world!'
221    0.0007851123809814453    0    0    b'Hello, world!'
222    0.0007801055908203125    0    0    b'Hello, world!'
223    0.0008218288421630859    0    0    b'Hello, world!'
224    0.0008230209350585938    0    0    b'Hello, world!'
225    0.0007739067077636719    0    0    b'Hello, world!'
226    0.0008120536804199219    0    0    b'Hello, world!'
227    0.0007758140563964844    0    0    b'Hello, world!'
228    0.0008211135864257812    0    0    b'Hello, world!'
229    0.0009050369262695312    0    0    b'Hello, world!'
230    0.0009608268737792969    0    0    b'Hello, world!'
231    0.00084686279296875    0    0    b'Hello, world!'
232    0.0008230209350585938    0    0    b'Hello, world!'
